name;##location ФИАС;geo_id Яндекс;text;примечение;субъект федерации;count;
Альметьевск;1ca4e6ce-2bc8-40a9-bdf5-113449c3a172;11121;г. Альметьевск;;татарстан;1;
Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;11256;г. Ангарск;;иркутская;1;
Арзамас;7e42f157-87d6-4111-a406-17432e814723;11080;г. Арзамас;;нижегородская;1;
Архангельск;06814fb6-0dc3-4bec-ba20-11f894a0faf5;20;г. Архангельск;;архангельская;1;
Астрахань;a101dd8b-3aee-4bda-9c61-9df106f145ff;37;г. Астрахань;;астраханская;1;
Ачинск;c3689d32-dea5-49c8-b69b-b8d2daa1d36b;11302;г. Ачинск;;красноярский;1;
Балаково;45eea4e7-2977-44bb-9b3d-ef8e9198e5d2;11143;г. Балаково;;саратовская;1;
Балашиха;27c5bc66-61bf-4a17-b0cd-ca0eb64192d6;10716;г. Балашиха;;московская;1;
Барнаул;d13945a8-7017-46ab-b1e6-ede1e89317ad;197;г. Барнаул;;алтайский;1;
Белгород;02e9c019-ab4d-4fa0-928e-d6c0a41dc256;4;г. Белгород;;белгородская;1;
Белово;1346744e-8a64-4712-8939-bb84a1692874;11277;г. Белово;;кемеровская;1;
Березники;4ffcde97-05e9-4a6e-bd51-3a984b41b7bd;20237;г. Березники;;пермский;1;
Березовский;92b30014-4d52-4e2e-892d-928142b924bf;29397;г. Березовский;!!! свердловской области;свердловская;1;был 11278 
Бийск;52f876f6-cb1d-4f23-a22f-b692609fc1e0;975;г. Бийск;;алтайский;1;
Брянск;414b71cf-921e-4bfc-b6e0-f7395d16aaef;191;г. Брянск;;брянская;1;
Бугульма;2c857ac6-3fb8-421d-bfd4-deeffa96df8f;11122;г. Бугульма;;татарстан;1;
Верхняя Пышма;061cd8e0-b7bd-4a31-944e-a6e3da93631d;20720;г. Верхняя Пышма;;свердловская;1;
Видное;9a72b510-9413-41d8-b076-576fbfd78404;10719;г. Видное;;московская;1;
Владивосток;7b6de6a5-86d0-4735-b11a-499081111af8;75;г. Владивосток;;приморский;1;
Владимир;f66a00e6-179e-4de9-8ecb-78b0277c9f10;192;г. Владимир;;владимирская;1;
Волгоград;a52b7389-0cfe-46fb-ae15-298652a64cf8;38;г. Волгоград;;волгоградская;1;
Волжский;bc5ed788-84c8-493e-9598-7a15a9f1e4c1;10951;г. Волжский;;волгоградская;1;
Вологда;023484a5-f98d-4849-82e1-b7e0444b54ef;21;г. Вологда;;вологодская;1;
Воронеж;5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1;193;г. Воронеж;;воронежская;1;
Воткинск;d948319d-b151-48f5-9791-22ccfeeabfe7;11149;г. Воткинск;;удмуртия;1;
Глазов;afeea607-0207-467f-8c59-562fc634f924;11150;г. Глазов;;удмуртия;1;
Губкин;98b1ec30-6107-4f99-ae3a-9d82492f30a1;10646;г. Губкин;;белгородская;1;
Дзержинск;1d5a97d5-9bdf-44c9-ac42-e201833e7f28;972;г. Дзержинск;;нижегородская;1;
Дмитров;0d8a246f-6446-403e-91c6-3aec9cdbfc32;10723;г. Дмитров;;московская;1;
Екатеринбург;2763c110-cb8b-416a-9dac-ad28a55b4402;54;г. Екатеринбург;;свердловская;1;
Елабуга;82d4c783-5080-4faa-9cec-ba9152bc9fc8;11123;г. Елабуга;;татарстан;1;
Елец;8261b161-ceac-4fa2-9fe8-593cb2a28210;10713;г. Елец;;липецкая;1;
Железногорск;b73b7c50-112e-4b04-82df-1e0cea13de4b;10710;г. Железногорск;!!! курской области;курск;1;
Зеленогорск;38f208d6-6f29-4d30-b826-b42e8beecc67;37180;г. Зеленогорск;;красноярский;1;
Иваново;40c6863e-2a5f-4033-a377-3416533948bd;5;г. Иваново;;ивановская;1;
Ижевск;deb1d05a-71ce-40d1-b726-6ba85d70d58f;44;г. Ижевск;;удмуртия;1;
Иркутск;8eeed222-72e7-47c3-ab3a-9a553c31cf72;63;г. Иркутск;;иркутская;1;
Йошкар-Ола;0648e41c-a09b-4eac-91cd-8cf61b9ccb7b;41;г. Йошкар-Ола;;марий эл;1;
Казань;93b3df57-4c89-44df-ac42-96f05e9cd3b9;43;г. Казань;;татарстан;1;
Калининград;df679694-d505-4dd3-b514-4ba48c8a97d8;22;г. Калининград;;калининградская;1;
Калуга;b502ae45-897e-4b6f-9776-6ff49740b537;6;г. Калуга;;калужская;1;
Каменск-Уральский;ecc16584-9814-44d7-a0f3-c79601caa734;11164;г. Каменск-Уральский;;свердловская;1;
Камышин;0f9fb687-8d03-41a2-968f-033a2ba44f2f;10959;г. Камышин;;волгоградская;1;
Кемерово;94bb19a3-c1fa-410b-8651-ac1bf7c050cd;64;г. Кемерово;;кемеровская;1;
Киров;452a2ddf-88a1-4e35-8d8d-8635493768d4;20200;г. Киров;;кировская;1;
Клинцы;59cb1f1f-16f9-47eb-9487-14a6c00e8621;10653;г. Клинцы;;брянская;1;
Коломна;b367fb03-29f9-4dac-8d85-01595cfb6ad9;10734;г. Коломна;;московская;1;
Колпино;1e11a121-81c4-4b66-b11c-da8f47db2e1d;26081;г. Колпино;;санкт-петербург;1;
Королёв;819d6910-b4d1-474f-ad10-c1fa944dfca4;20728;г. Королев;;московская;1;
Кострома;14c73394-b886-40a9-9e5c-547cfd4d6aad;7;г. Кострома;;костромская;1;
Красногорск;63fcf18a-365e-451f-baee-8d09ac50b773;10735;г. Красногорск;;московская;1;
Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;35;г. Краснодар;;Краснодарская;1;
Красноярск;9b968c73-f4d4-4012-8da8-3dacd4d4c1bd;62;г. Красноярск;;красноярский;1;
Курган;3bbda77d-ba3f-4457-9d44-c440815cda89;53;г. Курган;;московская;1;
Курск;d790c72e-479b-4da2-90d7-842b1712a71c;8;г. Курск;;курск;1;
Ленинск-Кузнецкий;cf600ae8-e376-42ae-bf7c-5aa1875dcd28;11285;г. Ленинск-Кузнецкий;;кемеровская;1;
Лесной;26c6f82c-8503-4c38-9009-52815c8f4a9b;11167;г. Лесной;;свердловская;1;
Липецк;eacb5f15-1a2e-432e-904a-ca56bd635f1b;9;г. Липецк;;липецкая;1;
Магнитогорск;988157bf-d6d5-4c2a-80ec-4ad531eea056;235;г. Магнитогорск;;челябинская;1;
Мегион;d9c157ca-fd05-4efc-ae0c-16927612a0c8;11182;г. Мегион;;хмао;1;
Междуреченск;c6a7e590-04b4-4a01-85fc-b61b63711bba;11287;г. Междуреченск;;кемеровская;1;
Можга;7096d8a5-2b41-47b1-95ae-35efcbc07dee;11151;г. Можга;;удмуртия;1;
Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;213;г. Москва;;москва;1;
Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;10740;г. Мытищи;;московская;1;
Набережные Челны;748d7afa-7407-4876-9f40-764ecdd09bbd;236;г. Набережные Челны;;татарстан;1;
Наро-Фоминск;08c78435-6ed8-4d7f-a7ed-3f73e2fa6359;10741;г. Наро-Фоминск;;московская;1;
Невинномысск;ff894fb7-acb4-4edf-bb48-c5349d89579b;11064;г. Невинномысск;;ставропольский;1;
Нефтекамск;2c9997d2-ce94-431a-96c9-722d2238d5c8;11114;г. Нефтекамск;;башкирия;1;
Нефтеюганск;45906532-143b-48c2-9af3-f480dc19c7bf;11184;г. Нефтеюганск;;хмао;1;
Нижневартовск;0bf0f4ed-13f8-446e-82f6-325498808076;1091;г. Нижневартовск;;хмао;1;
Нижнекамск;6b849aa8-0782-4c26-b7ac-a0f413f306c0;11127;г. Нижнекамск;;татарстан;1;
Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;47;г. Нижний Новгород;;нижегородская;1;
Нижний Тагил;cc73d6af-6e2e-4a1f-be8e-682c289b0b57;11168;г. Нижний Тагил;;свердловская;1;
Новокузнецк;b28b6f6f-1435-444e-95a6-68c499b0d27a;237;г. Новокузнецк;;кемеровская;1;
Новокуйбышевск;cda74a83-ae08-4ba2-b01c-c6fc373222cb;11135;г. Новокуйбышевск;;самарская;1;
Новомосковск;0b6e326e-74ca-4e24-93d4-2c385c292bb5;10830;г. Новомосковск;;тульская;1;
Новороссийск;16ac039a-5257-4715-a8c5-d6bd9e617b53;970;г. Новороссийск;;Краснодарский;1;
Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;65;г. Новосибирск;;новосибирский;1;
Новоуральск;22fbcef5-5cab-4ef2-9cb5-fddd1479bc8e;11170;г. Новоуральск;;свердловская;1;
Новочеркасск;28bafcb3-92b2-445b-9443-a341be73fdb9;238;г. Новочеркасск;;ростовская;1;
Новый Уренгой;4136d0c1-3ff7-44c0-aa30-fa2e7eb96ef7;11230;г. Новый Уренгой;;янао;1;
Одинцово;6ae8ad9e-aa6c-4849-92d8-8e637059c9b0;10743;г. Одинцово;;московская;1;
Озёрск;8192c863-edbf-4825-8523-0612ae80e5a7;20143;г. Озерск;;челябинская;1;
Омск;140e31da-27bf-4519-9ea0-6185d681d44e;66;г. Омск;;омская;1;
Орёл;2abed4d9-5565-4885-bc96-f4ffccc6cba4;10;г. Орел;;орловская;1;
Оренбург;dce97bff-deb2-4fd9-9aec-4f4327bbf89b;48;г. Оренбург;;оренбургская;1;
Пенза;ff3292b1-a1d2-47d4-b35b-ac06b50555cc;49;г. Пенза;;пензенская;1;
Первоуральск;45bad628-61b7-4445-b62a-fa4c7bc71ccd;11171;г. Первоуральск;;свердловская;1;
Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;50;г. Пермь;;пермский;1;
Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;10747;г. Подольск;;московская;1;
Пятигорск;9b0efbd0-22bb-400d-86db-ddc69b9939d9;11067;г. Пятигорск;;ставропольский;1;
Ростов-на-Дону;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;39;г. Ростов-на-Дону;;ростовская;1;
Рязань;86e5bae4-ef58-4031-b34f-5e9ff914cd55;11;г. Рязань;;рязанская;1;
Салават;fc14353f-5a1d-4f22-94ea-b900bad9a9f1;11115;г. Салават;;башкортостан;1;
Самара;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;51;г. Самара;;самарская;1;
Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;2;г. Санкт-Петербург;;Санкт-Петербург;1;
Саранск;1ccfdc3c-be0f-4e42-ab4d-98f90de972d9;42;г. Саранск;;мордовия;1;
Саратов;bf465fda-7834-47d5-986b-ccdb584a85a6;194;г. Саратов;;саратовская;1;
Северск;53c22352-eb6f-4163-a4d1-385d64561d2f;11351;г. Северск;;томская;1;
Серов;591f3e74-079f-42ff-a155-f01c9dc363ae;11172;г. Серов;;свердловская;1;
Смоленск;d414a2e8-9e1e-48c1-94a4-7308d5608177;12;г. Смоленск;;смоленская;1;
Сосновый Бор;f4a4b31f-9f0a-4fdb-804c-d67661085eb4;10891;г. Сосновый Бор;;санкт-петербург;1;
Сочи;79da737a-603b-4c19-9b54-9114c96fb912;239;г. Сочи;;краснодарский;1;
Ставрополь;2a1c7bdb-05ea-492f-9e1c-b3999f79dcbc;36;г. Ставрополь;;ставропольский;1;
